海南省,22.133811475409843
香港特别行政区,18.770833333333336
澳门特别行政区,18.416666666666668
台湾省,17.315625
广东省,16.628337236533945
广西壮族自治区,14.741342592592565
云南省,12.14119412941963
湖南省,11.623747368421032
福建省,11.436458333333334
重庆市,11.092034313725486
江西省,10.999379157427956
贵州省,10.351373895976444
湖北省,9.434188034188038
浙江省,8.736093749999998
安徽省,8.176875000000015
四川省,7.853706543967303
上海市,7.354545454545458
江苏省,6.426409313725496
河南省,6.136309523809552
陕西省,2.8215836526181373
山东省,2.38138661202186
甘肃省,-0.11809071729957812
山西省,-0.15848623853211014
宁夏回族自治区,-0.3508333333333331
天津市,-0.4391025641025645
河北省,-1.1181526806526798
北京市,-1.3366666666666673
新疆维吾尔自治区,-3.5385850694444407
西藏自治区,-5.5392641405821035
辽宁省,-5.629848484848485
青海省,-7.302519379844969
内蒙古自治区,-9.707016325112903
吉林省,-12.318916666666677
黑龙江省,-20.458985943775097
